               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,  metrics/player_mAP,metrics/player_mAP_50
                  32,             0.07207,            0.012134,                   0,            0.072903,            0.092784,            0.044761,           0.0099364,            0.076999,            0.011803,                   0,            0.007954,            0.007954,            0.007954,           0.0099364,            0.044761
                  33,             0.07396,            0.012171,                   0,             0.06328,             0.12371,            0.036403,            0.016482,            0.080302,            0.011397,                   0,            0.007888,            0.007888,            0.007888,            0.016482,            0.036403
                  34,            0.069613,            0.011649,                   0,            0.095219,             0.17526,            0.057576,            0.018527,            0.070562,            0.012258,                   0,            0.007822,            0.007822,            0.007822,            0.018527,            0.057576
                  35,            0.069567,             0.01222,                   0,             0.20589,             0.14433,            0.080435,              0.0295,            0.066274,            0.012117,                   0,            0.007756,            0.007756,            0.007756,              0.0295,            0.080435
                  36,            0.068151,            0.011463,                   0,             0.18461,             0.16495,            0.083998,            0.033927,            0.065788,            0.012367,                   0,             0.00769,             0.00769,             0.00769,            0.033927,            0.083998
                  37,            0.066452,            0.011719,                   0,             0.40483,             0.19588,             0.16725,            0.049736,            0.066687,            0.011761,                   0,            0.007624,            0.007624,            0.007624,            0.049736,             0.16725
                  38,            0.069241,            0.011907,                   0,             0.29473,             0.17526,             0.11994,            0.044797,            0.065851,            0.011676,                   0,            0.007558,            0.007558,            0.007558,            0.044797,             0.11994
                  39,            0.070641,            0.011484,                   0,             0.25589,             0.14433,            0.083136,            0.025481,            0.066698,             0.01165,                   0,            0.007492,            0.007492,            0.007492,            0.025481,            0.083136
                  40,            0.066492,            0.011609,                   0,             0.23697,             0.14433,             0.11216,            0.036699,             0.06672,            0.011422,                   0,            0.007426,            0.007426,            0.007426,            0.036699,             0.11216
                  41,            0.067169,            0.012303,                   0,             0.30379,             0.17526,             0.15949,            0.055358,            0.062163,            0.011947,                   0,             0.00736,             0.00736,             0.00736,            0.055358,             0.15949
                  42,            0.066106,            0.012256,                   0,             0.16065,             0.16495,             0.09496,            0.033003,            0.067448,            0.012908,                   0,            0.007294,            0.007294,            0.007294,            0.033003,             0.09496
                  43,            0.069634,            0.012361,                   0,             0.17145,             0.17526,            0.089073,            0.032632,            0.062407,             0.01194,                   0,            0.007228,            0.007228,            0.007228,            0.032632,            0.089073
                  44,            0.064639,            0.011814,                   0,             0.18768,             0.17526,            0.099611,             0.03537,            0.060585,            0.012135,                   0,            0.007162,            0.007162,            0.007162,             0.03537,            0.099611
                  45,            0.066441,            0.012017,                   0,             0.25717,             0.18557,             0.13389,            0.048243,            0.059976,            0.011967,                   0,            0.007096,            0.007096,            0.007096,            0.048243,             0.13389
                  46,            0.066989,            0.011668,                   0,             0.29479,             0.16495,             0.12851,             0.04208,            0.062738,            0.011544,                   0,             0.00703,             0.00703,             0.00703,             0.04208,             0.12851
                  47,             0.06569,            0.012157,                   0,             0.18267,             0.21649,             0.13219,            0.044904,            0.059972,            0.011747,                   0,            0.006964,            0.006964,            0.006964,            0.044904,             0.13219
                  48,            0.064012,            0.012239,                   0,             0.17567,             0.20619,             0.12034,            0.045236,            0.063176,            0.014093,                   0,            0.006898,            0.006898,            0.006898,            0.045236,             0.12034
                  49,            0.062905,            0.011629,                   0,             0.14509,             0.15464,            0.084629,            0.030057,            0.074303,            0.011737,                   0,            0.006832,            0.006832,            0.006832,            0.030057,            0.084629
                  50,            0.062199,            0.010528,                   0,             0.26234,             0.27835,               0.183,            0.058824,            0.061202,             0.01129,                   0,            0.006766,            0.006766,            0.006766,            0.058824,               0.183
                  51,            0.061149,            0.010439,                   0,             0.23508,             0.25773,             0.12635,            0.042904,            0.059447,             0.01165,                   0,              0.0067,              0.0067,              0.0067,            0.042904,             0.12635
                  52,            0.063387,             0.01064,                   0,             0.23073,             0.25666,             0.16996,            0.067222,            0.058399,            0.011988,                   0,            0.006634,            0.006634,            0.006634,            0.067222,             0.16996
                  53,            0.064851,            0.012944,                   0,             0.31235,             0.24742,             0.17905,            0.058445,            0.063079,            0.010788,                   0,            0.006568,            0.006568,            0.006568,            0.058445,             0.17905
                  54,             0.06742,            0.011903,                   0,             0.28193,             0.32383,             0.18479,            0.068282,            0.057182,            0.011392,                   0,            0.006502,            0.006502,            0.006502,            0.068282,             0.18479
                  55,            0.061772,            0.011605,                   0,             0.22063,             0.25392,             0.15691,            0.060663,            0.061391,            0.010905,                   0,            0.006436,            0.006436,            0.006436,            0.060663,             0.15691
                  56,            0.064173,            0.011417,                   0,             0.27612,             0.24384,             0.18083,            0.066904,            0.058621,            0.011069,                   0,             0.00637,             0.00637,             0.00637,            0.066904,             0.18083
                  57,            0.062457,            0.012168,                   0,             0.18811,             0.24742,             0.14743,             0.05773,            0.058066,            0.011793,                   0,            0.006304,            0.006304,            0.006304,             0.05773,             0.14743
                  58,            0.059605,            0.010123,                   0,             0.27797,             0.31959,             0.18019,            0.070921,            0.056602,            0.012318,                   0,            0.006238,            0.006238,            0.006238,            0.070921,             0.18019
